play_id,game_id,season,week,season_type,home_team,away_team,play_deleted,touchdown,pass_touchdown,rush_touchdown,return_touchdown,interception,fumble,fumble_lost,kickoff_attempt,punt_attempt,punt_blocked,field_goal_attempt,extra_point_attempt,two_point_attempt,defensive_two_point_conv,defensive_extra_point_conv,safety,special,special_teams_play,play_type,play_type_nfl,posteam,defteam,td_team,td_player_id,return_team,fumble_recovery_1_team,fumble_recovery_2_team,fumbled_1_team,fumbled_2_team,field_goal_result,extra_point_result,two_point_conv_result,st_play_type,posteam_score,defteam_score,posteam_score_post,defteam_score_post
4004,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
4034,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
4056,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,pass,SACK,CLE,PIT,PIT,00-0033886,,PIT,,CLE,,,,,,22,19,22,25
4087,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,extra_point,XP_KICK,PIT,CLE,,,,,,,,,good,,,25,22,26,22
4102,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,kickoff,KICK_OFF,CLE,PIT,,,CLE,,,,,,,,,22,26,22,26
4118,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,26,22,26
4142,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,26,22,26
4169,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,26,22,26
4192,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,SACK,CLE,PIT,,,,,,,,,,,,22,26,22,26
4212,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,26,22,26
4235,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,punt,PUNT,CLE,PIT,,,PIT,,,,,,,,,22,26,22,26
